,Gamma 0.99,Gamma 0.5,Gamma 0.1
0,9.520842,12.984885,18.59102
1,-5.731372,6.090729,20.138945
2,-2.3511732,13.450457,15.202585
3,3.8713448,15.221879,21.55542
4,-8.679582,14.734545,14.459583
5,9.27332,3.1676376,1.9101211
6,17.420202,19.467392,21.84377
7,8.962509,10.827592,18.962297
8,17.039703,16.117115,15.479298
9,-0.3700757,9.516704,11.867604
10,-0.9816632,13.484917,12.916769
11,-3.8735137,18.593042,17.497118
12,-2.7957711,9.944534,9.4240885
13,-1.608242,19.759212,17.624916
14,-6.938345,13.489366,17.35008
15,6.4227705,10.966664,23.32151
16,13.212149,8.052605,9.480327
17,4.2775927,16.591045,17.083069
18,10.142223,15.46946,15.606879
19,26.669727,5.981149,10.563396
20,7.151559,11.898835,13.313892
21,2.51847,19.96403,24.84493
22,1.0424749,-0.5880132,9.162467
23,0.04153055,8.500772,16.386375
24,3.4909372,7.1074214,12.371237
25,1.9912761,9.664192,20.328602
26,5.680286,19.104605,21.511015
27,10.913853,11.555277,14.862264
28,-5.294875,9.210187,12.684578
29,10.340212,16.23387,21.280767
30,-4.6283865,14.016292,16.368073
31,5.0164557,6.4157248,9.17706
32,5.516361,12.268063,14.756796
33,1.5434093,2.6677833,5.1334267
34,1.1581256,12.0186615,12.182243
35,-0.44564596,13.31032,23.597889
36,-2.1303782,8.816645,17.844027
37,11.528096,6.8892307,10.382874
38,3.1541202,7.46927,12.92877
39,10.709692,5.8608212,8.77841
40,-1.1660122,16.62982,18.464972
41,-2.7846222,19.715347,30.921186
42,8.760195,13.112128,17.008978
43,-2.023827,12.502904,17.237272
44,-2.4424534,7.711008,15.547439
45,3.2901363,19.013208,19.876816
46,8.880777,3.7058737,6.261086
47,14.481469,11.709943,14.783482
48,6.9896126,5.792785,9.748098
49,5.6048913,5.3958983,4.1934714
50,8.007345,17.265743,18.62003
51,-5.2048807,3.6031566,15.640868
52,-4.019569,10.742367,15.428663
53,11.007507,4.4145746,12.860943
54,0.50774086,20.205044,23.10641
55,13.17831,13.12249,12.904702
56,6.9503193,19.493074,22.04636
57,8.435883,11.929317,11.329685
58,-3.6413662,0.13536233,4.546847
59,11.434495,13.484585,16.549702
60,4.5342484,24.57741,26.708786
61,9.309155,15.116956,24.369123
62,-3.9519646,2.5650175,11.754927
63,5.8144307,13.454282,16.142378
64,7.8893557,14.280442,12.136177
65,3.8875337,12.587606,16.16897
66,1.643023,14.04767,16.31042
67,9.833728,10.070854,10.772634
68,7.862983,14.765554,22.337048
69,-2.8294258,17.166206,22.499123
70,4.165006,10.001641,16.007376
71,10.627019,11.364817,12.676965
72,5.9525895,14.994919,18.001596
73,4.879152,6.9764605,10.495263
74,5.1970963,5.459027,6.37966
75,4.6851373,13.01464,12.9459505
76,9.029051,12.984501,14.210936
77,3.0356367,2.030674,1.2366968
78,-5.66376,5.3185368,10.2725315
79,4.2071133,4.2333236,4.354947
80,3.3965476,16.816042,22.318583
81,14.530214,14.809689,14.834024
82,8.182213,13.11475,19.550394
83,7.7769394,18.989748,21.969282
84,8.409131,9.862968,13.150956
85,1.9703702,5.5174413,8.320413
86,2.727379,4.0663004,6.694347
87,20.791418,9.592952,17.204813
88,6.9815593,8.778628,10.687019
89,-3.4053879,1.3940194,8.510795
90,0.45417398,9.582035,11.438962
91,4.5674996,7.6079473,9.770657
92,-2.437449,12.122466,14.092253
93,1.5148605,13.478556,15.185224
94,8.490068,8.876206,12.437666
95,1.8853743,10.624451,12.3792925
96,6.705925,16.167442,26.823895
97,-1.1067173,10.752148,20.913849
98,-4.7932525,14.919841,16.25185
99,2.8488648,8.424055,6.37163
